"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"ログイン入力テスト: 存在しないユーザーのメールアドレス","897","ログイン - 存在しないユーザーのメールアドレス","chromium","Thu Mar 27 13:00:38 UTC 2025","passed","Thu Mar 27 13:00:39 UTC 2025","","login-boundary.spec.ts","",""
"ログイン入力テスト: 標準的な有効なログイン情報","1809","ログイン - 標準的な有効なログイン情報","webkit","Thu Mar 27 13:02:02 UTC 2025","passed","Thu Mar 27 13:02:04 UTC 2025","","login-boundary.spec.ts","",""
"ログイン入力テスト: 存在しないユーザーのメールアドレス","1281","ログイン - 存在しないユーザーのメールアドレス","webkit","Thu Mar 27 13:02:06 UTC 2025","passed","Thu Mar 27 13:02:08 UTC 2025","","login-boundary.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされる","1206","ログイン後にログアウトするとトップページに戻る","","Thu Mar 27 01:35:04 UTC 2025","passed","Thu Mar 27 01:35:05 UTC 2025","","login.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであることを視覚的に検証します","3115","宿泊予約フローの各画面が視覚的に正しく表示される","webkit","Thu Mar 27 13:02:43 UTC 2025","failed","Thu Mar 27 13:02:46 UTC 2025","","visual.spec.ts","",""
"ナビゲーションメニューから各主要ページへ正しく遷移できることを検証します","2683","ナビゲーションメニューで各ページに遷移できる","chromium","Thu Mar 27 13:00:32 UTC 2025","passed","Thu Mar 27 13:00:35 UTC 2025","","index.spec.ts","",""
"ログイン入力テスト: 標準的な有効なログイン情報","1698","ログイン - 標準的な有効なログイン情報","chromium","Thu Mar 27 13:00:35 UTC 2025","passed","Thu Mar 27 13:00:36 UTC 2025","","login-boundary.spec.ts","",""
"宿泊プラン選択から予約モーダル表示までの速度を検証します","2552","プラン予約モーダルの表示速度を検証する @performance","webkit","Thu Mar 27 13:02:28 UTC 2025","passed","Thu Mar 27 13:02:31 UTC 2025","","performance.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできることを検証します","1820","正しい認証情報でログインできる","webkit","Thu Mar 27 13:02:13 UTC 2025","passed","Thu Mar 27 13:02:15 UTC 2025","","login.spec.ts","",""
"トップページが正しく読み込まれ、タイトルが表示されていることを検証します","2278","トップページが正しく表示される","firefox","Thu Mar 27 13:01:07 UTC 2025","passed","Thu Mar 27 13:01:10 UTC 2025","","index.spec.ts","",""
"ログイン入力テスト: 標準的な有効なログイン情報","1879","ログイン - 標準的な有効なログイン情報","firefox","Thu Mar 27 13:01:14 UTC 2025","passed","Thu Mar 27 13:01:16 UTC 2025","","login-boundary.spec.ts","",""
"主要ページの読み込み時間がパフォーマンス基準を満たしていることを検証します","2471","主要ページの読み込み速度を検証する @performance","firefox","Thu Mar 27 13:01:29 UTC 2025","passed","Thu Mar 27 13:01:31 UTC 2025","","performance.spec.ts","",""
"ログインフォーム送信から結果表示までの時間を検証します","1364","ログイン処理の応答時間を検証する @performance","chromium","Thu Mar 27 13:00:52 UTC 2025","passed","Thu Mar 27 13:00:53 UTC 2025","","performance.spec.ts","",""
"ナビゲーションメニューから各主要ページへ正しく遷移できることを検証します","3490","ナビゲーションメニューで各ページに遷移できる","firefox","Thu Mar 27 13:01:10 UTC 2025","passed","Thu Mar 27 13:01:14 UTC 2025","","index.spec.ts","",""
"誤ったパスワードではログインできず、適切なエラーメッセージが表示されることを検証します","850","間違ったパスワードでログインできない","chromium","Thu Mar 27 13:00:44 UTC 2025","passed","Thu Mar 27 13:00:45 UTC 2025","","login.spec.ts","",""
"ナビゲーションメニューからの画面遷移が迅速であることを検証します","2945","ナビゲーション遷移の応答時間を検証する @performance","firefox","Thu Mar 27 13:01:31 UTC 2025","passed","Thu Mar 27 13:01:34 UTC 2025","","performance.spec.ts","",""
"ログイン入力テスト: 空のメールアドレス","1257","ログイン - 空のメールアドレス","webkit","Thu Mar 27 13:02:04 UTC 2025","passed","Thu Mar 27 13:02:05 UTC 2025","","login-boundary.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできる","1126","正しい資格情報でログインできる","","Tue Mar 25 08:36:39 UTC 2025","passed","Tue Mar 25 08:36:40 UTC 2025","","login.spec.ts","",""
"ログイン入力テスト: 誤ったパスワード","1038","ログイン - 誤ったパスワード","firefox","Thu Mar 27 13:01:20 UTC 2025","passed","Thu Mar 27 13:01:21 UTC 2025","","login-boundary.spec.ts","",""
"ログイン入力テスト: 極端に長いメールアドレス","865","ログイン - 極端に長いメールアドレス","chromium","Thu Mar 27 13:00:41 UTC 2025","passed","Thu Mar 27 13:00:42 UTC 2025","","login-boundary.spec.ts","",""
"誤ったパスワードではログインできず、適切なエラーメッセージが表示されることを検証します","1210","間違ったパスワードでログインできない","webkit","Thu Mar 27 13:02:15 UTC 2025","passed","Thu Mar 27 13:02:16 UTC 2025","","login.spec.ts","",""
"ログイン入力テスト: 空のパスワード","930","ログイン - 空のパスワード","chromium","Thu Mar 27 13:00:39 UTC 2025","passed","Thu Mar 27 13:00:40 UTC 2025","","login-boundary.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされることを検証します","1947","ログイン後にログアウトするとトップページに戻る","chromium","Thu Mar 27 13:00:45 UTC 2025","passed","Thu Mar 27 13:00:47 UTC 2025","","login.spec.ts","",""
"誤ったパスワードではログインできず、エラーメッセージが表示される","1329","間違ったパスワードでログインできない","","Thu Mar 27 01:34:51 UTC 2025","passed","Thu Mar 27 01:34:52 UTC 2025","","login.spec.ts","",""
"主要ページの読み込み時間がパフォーマンス基準を満たしていることを検証します","2153","主要ページの読み込み速度を検証する @performance","chromium","Thu Mar 27 13:00:47 UTC 2025","passed","Thu Mar 27 13:00:49 UTC 2025","","performance.spec.ts","",""
"ナビゲーションメニューから各主要ページへ正しく遷移できることを検証します","4421","ナビゲーションメニューで各ページに遷移できる","webkit","Thu Mar 27 13:01:57 UTC 2025","passed","Thu Mar 27 13:02:02 UTC 2025","","index.spec.ts","",""
"ログイン入力テスト: 誤ったパスワード","1298","ログイン - 誤ったパスワード","webkit","Thu Mar 27 13:02:09 UTC 2025","passed","Thu Mar 27 13:02:10 UTC 2025","","login-boundary.spec.ts","",""
"認証されていない状態で保護されたページにアクセスすると適切にリダイレクトされることを検証します","1107","未ログイン状態でマイページにアクセスするとリダイレクトされる","webkit","Thu Mar 27 13:02:16 UTC 2025","passed","Thu Mar 27 13:02:17 UTC 2025","","login.spec.ts","",""
"ログインフォーム送信から結果表示までの時間を検証します","1590","ログイン処理の応答時間を検証する @performance","firefox","Thu Mar 27 13:01:34 UTC 2025","passed","Thu Mar 27 13:01:36 UTC 2025","","performance.spec.ts","",""
"タイトルが表示されていること","1153","トップページが正しく表示される","","Thu Mar 27 01:33:53 UTC 2025","passed","Thu Mar 27 01:33:54 UTC 2025","","index.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであることを視覚的に検証します","2042","宿泊予約フローの各画面が視覚的に正しく表示される","chromium","Thu Mar 27 13:01:05 UTC 2025","failed","Thu Mar 27 13:01:07 UTC 2025","","visual.spec.ts","",""
"ログイン入力テスト: 極端に長いメールアドレス","1063","ログイン - 極端に長いメールアドレス","firefox","Thu Mar 27 13:01:21 UTC 2025","passed","Thu Mar 27 13:01:22 UTC 2025","","login-boundary.spec.ts","",""
"主要ページの読み込み時間がパフォーマンス基準を満たしていることを検証します","3299","主要ページの読み込み速度を検証する @performance","webkit","Thu Mar 27 13:02:20 UTC 2025","passed","Thu Mar 27 13:02:23 UTC 2025","","performance.spec.ts","",""
"宿泊プラン選択から予約モーダル表示までの速度を検証します","1995","プラン予約モーダルの表示速度を検証する @performance","firefox","Thu Mar 27 13:01:36 UTC 2025","passed","Thu Mar 27 13:01:38 UTC 2025","","performance.spec.ts","",""
"ログイン入力テスト: 空のパスワード","1262","ログイン - 空のパスワード","webkit","Thu Mar 27 13:02:08 UTC 2025","passed","Thu Mar 27 13:02:09 UTC 2025","","login-boundary.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされることを検証します","2207","ログイン後にログアウトするとトップページに戻る","firefox","Thu Mar 27 13:01:26 UTC 2025","passed","Thu Mar 27 13:01:29 UTC 2025","","login.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","4274","宿泊予約の一連フローが正常に完了すること","webkit","Thu Mar 27 13:02:31 UTC 2025","passed","Thu Mar 27 13:02:35 UTC 2025","","reservation.spec.ts","",""
"誤ったパスワードではログインできず、適切なエラーメッセージが表示されることを検証します","1063","間違ったパスワードでログインできない","firefox","Thu Mar 27 13:01:25 UTC 2025","passed","Thu Mar 27 13:01:26 UTC 2025","","login.spec.ts","",""
"ログアウト機能が正しく動作し、トップページにリダイレクトされることを検証します","2738","ログイン後にログアウトするとトップページに戻る","webkit","Thu Mar 27 13:02:17 UTC 2025","passed","Thu Mar 27 13:02:20 UTC 2025","","login.spec.ts","",""
"プラン選択から予約フォーム入力、確認、モーダル完了までのE2Eテスト","2400","宿泊予約の一連フローが完了する","","Tue Mar 25 08:36:48 UTC 2025","passed","Tue Mar 25 08:36:50 UTC 2025","","reservation.refactored.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであること","5509","宿泊予約フローの各画面が視覚的に正しく表示される","","Thu Mar 27 01:37:15 UTC 2025","passed","Thu Mar 27 01:37:21 UTC 2025","","visual.spec.ts","",""
"ログイン入力テスト: 極端に長いメールアドレス","1263","ログイン - 極端に長いメールアドレス","webkit","Thu Mar 27 13:02:10 UTC 2025","passed","Thu Mar 27 13:02:11 UTC 2025","","login-boundary.spec.ts","",""
"ログイン入力テスト: 特殊文字を含むパスワード（XSSパターン）","1316","ログイン - 特殊文字を含むパスワード（XSSパターン）","webkit","Thu Mar 27 13:02:11 UTC 2025","passed","Thu Mar 27 13:02:13 UTC 2025","","login-boundary.spec.ts","",""
"ログイン入力テスト: 無効な形式のメールアドレス","1246","ログイン - 無効な形式のメールアドレス","webkit","Thu Mar 27 13:02:05 UTC 2025","passed","Thu Mar 27 13:02:06 UTC 2025","","login-boundary.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","3206","宿泊予約の一連フローが正常に完了すること","chromium","Thu Mar 27 13:00:55 UTC 2025","passed","Thu Mar 27 13:00:58 UTC 2025","","reservation.spec.ts","",""
"ログイン入力テスト: 空のパスワード","1085","ログイン - 空のパスワード","firefox","Thu Mar 27 13:01:19 UTC 2025","passed","Thu Mar 27 13:01:20 UTC 2025","","login-boundary.spec.ts","",""
"トップページが正しく読み込まれ、タイトルが表示されていることを検証します","3242","トップページが正しく表示される","webkit","Thu Mar 27 13:01:53 UTC 2025","passed","Thu Mar 27 13:01:57 UTC 2025","","index.spec.ts","",""
"ログイン入力テスト: 無効な形式のメールアドレス","1031","ログイン - 無効な形式のメールアドレス","firefox","Thu Mar 27 13:01:17 UTC 2025","passed","Thu Mar 27 13:01:18 UTC 2025","","login-boundary.spec.ts","",""
"宿泊プラン選択から予約モーダル表示までの速度を検証します","1837","プラン予約モーダルの表示速度を検証する @performance","chromium","Thu Mar 27 13:00:53 UTC 2025","passed","Thu Mar 27 13:00:55 UTC 2025","","performance.spec.ts","",""
"トップページが正しく読み込まれ、タイトルが表示されていることを検証します","1573","トップページが正しく表示される","chromium","Thu Mar 27 13:00:25 UTC 2025","passed","Thu Mar 27 13:00:27 UTC 2025","","index.spec.ts","",""
"ログイン入力テスト: 特殊文字を含むパスワード（XSSパターン）","895","ログイン - 特殊文字を含むパスワード（XSSパターン）","chromium","Thu Mar 27 13:00:42 UTC 2025","passed","Thu Mar 27 13:00:43 UTC 2025","","login-boundary.spec.ts","",""
"ログイン入力テスト: 空のメールアドレス","1087","ログイン - 空のメールアドレス","firefox","Thu Mar 27 13:01:16 UTC 2025","passed","Thu Mar 27 13:01:17 UTC 2025","","login-boundary.spec.ts","",""
"宿泊予約フロー全体のUIデザインが期待通りであることを視覚的に検証します","2642","宿泊予約フローの各画面が視覚的に正しく表示される","firefox","Thu Mar 27 13:01:49 UTC 2025","failed","Thu Mar 27 13:01:52 UTC 2025","","visual.spec.ts","",""
"認証されていない状態で保護されたページにアクセスすると適切にリダイレクトされることを検証します","575","未ログイン状態でマイページにアクセスするとリダイレクトされる","firefox","Thu Mar 27 13:01:26 UTC 2025","passed","Thu Mar 27 13:01:26 UTC 2025","","login.spec.ts","",""
"ログイン入力テスト: 存在しないユーザーのメールアドレス","1120","ログイン - 存在しないユーザーのメールアドレス","firefox","Thu Mar 27 13:01:18 UTC 2025","passed","Thu Mar 27 13:01:19 UTC 2025","","login-boundary.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","3775","宿泊予約の一連フローが正常に完了すること","firefox","Thu Mar 27 13:01:38 UTC 2025","passed","Thu Mar 27 13:01:41 UTC 2025","","reservation.spec.ts","",""
"ナビゲーションメニューからの画面遷移が迅速であることを検証します","2594","ナビゲーション遷移の応答時間を検証する @performance","chromium","Thu Mar 27 13:00:49 UTC 2025","passed","Thu Mar 27 13:00:52 UTC 2025","","performance.spec.ts","",""
"ナビゲーションメニューからの画面遷移が迅速であることを検証します","3529","ナビゲーション遷移の応答時間を検証する @performance","webkit","Thu Mar 27 13:02:23 UTC 2025","passed","Thu Mar 27 13:02:26 UTC 2025","","performance.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできる","1247","正しい認証情報でログインできる","","Thu Mar 27 01:34:22 UTC 2025","passed","Thu Mar 27 01:34:23 UTC 2025","","login.spec.ts","",""
"ログインフォーム送信から結果表示までの時間を検証します","1766","ログイン処理の応答時間を検証する @performance","webkit","Thu Mar 27 13:02:26 UTC 2025","passed","Thu Mar 27 13:02:28 UTC 2025","","performance.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできることを検証します","1604","正しい認証情報でログインできる","firefox","Thu Mar 27 13:01:23 UTC 2025","passed","Thu Mar 27 13:01:25 UTC 2025","","login.spec.ts","",""
